team_name,group_name,confederation_code,prior_world_cups,prior_titles,prior_finals,prior_semifinals,best_stage_score,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,readiness_score
Brazil,C,CONMEBOL,22,5,7,11,6,8,1.625,0.5,1.125,17.043750000000003
Argentina,J,CONMEBOL,18,3,6,6,6,7,2.5714285714285716,0.8571428571428571,2.4285714285714284,15.957142857142857
France,I,UEFA,16,2,4,7,6,8,2.75,0.875,1.875,14.756250000000001
Spain,H,UEFA,16,1,1,2,6,8,2.5,0.75,2.75,14.1125
England,L,UEFA,16,1,1,3,6,8,2.375,0.75,2.25,13.8375
Uruguay,H,CONMEBOL,14,2,2,5,6,8,1.625,0.375,0.125,12.84375
Germany,E,UEFA,10,1,2,5,6,8,2.625,0.875,1.875,12.706249999999999
Netherlands,F,UEFA,11,0,3,5,5,8,2.25,0.625,1.75,10.6125
Belgium,G,UEFA,14,0,0,2,4,8,2.25,0.625,3.0,10.45
Croatia,L,UEFA,6,0,1,3,5,8,2.375,0.75,1.25,9.5375
Sweden,F,UEFA,12,0,1,4,5,8,1.0,0.25,-0.625,8.981250000000001
Austria,J,UEFA,7,0,0,2,4,8,2.375,0.75,2.25,8.8875
Portugal,K,UEFA,8,0,0,2,4,8,2.125,0.625,1.875,8.756250000000001
United States,D,CONCACAF,11,0,0,1,4,14,1.8571428571428572,0.5714285714285714,0.5714285714285714,8.685714285714285
Morocco,C,CAF,6,0,0,1,4,21,2.619047619047619,0.8095238095238095,1.619047619047619,8.661904761904761
Mexico,A,CONCACAF,17,0,0,0,3,17,1.8235294117647058,0.47058823529411764,0.47058823529411764,8.623529411764705
South Korea,A,AFC,11,0,0,1,4,8,1.625,0.5,-0.375,8.168750000000001
Switzerland,B,UEFA,12,0,0,0,3,8,1.875,0.5,1.375,7.98125
Turkey,D,UEFA,2,0,0,1,4,8,2.375,0.75,0.875,7.406250000000001
Colombia,K,CONMEBOL,6,0,0,0,3,8,2.0,0.625,1.375,6.8812500000000005
Senegal,I,CAF,3,0,0,0,3,15,2.466666666666667,0.8,1.9333333333333333,6.8500000000000005
Paraguay,D,CONMEBOL,8,0,0,0,3,8,1.375,0.375,-0.125,6.2562500000000005
Japan,F,AFC,7,0,0,0,2,8,2.125,0.625,0.75,5.7625
Algeria,J,CAF,4,0,0,0,2,17,2.3529411764705883,0.7058823529411765,1.6470588235294117,5.658823529411765
Norway,I,UEFA,3,0,0,0,2,8,2.125,0.625,2.625,5.61875
Ghana,L,CAF,4,0,0,0,3,8,1.25,0.375,-0.125,5.35625
Australia,D,AFC,6,0,0,0,2,8,1.875,0.625,0.5,5.2749999999999995
Saudi Arabia,H,AFC,6,0,0,0,2,17,1.411764705882353,0.4117647058823529,-0.23529411764705882,4.647058823529412
Egypt,G,CAF,3,0,0,0,2,18,1.7222222222222223,0.4444444444444444,0.5,4.552777777777778
Ecuador,E,CONMEBOL,4,0,0,0,2,8,1.5,0.25,0.375,4.53125
Tunisia,F,CAF,6,0,0,0,1,16,1.875,0.5,1.125,4.29375
Scotland,C,UEFA,8,0,0,0,1,8,1.625,0.5,0.5,4.2749999999999995
Ivory Coast,E,CAF,3,0,0,0,1,13,2.230769230769231,0.6923076923076923,1.6153846153846154,4.15
Iran,G,AFC,6,0,0,0,1,6,1.3333333333333333,0.3333333333333333,0.8333333333333334,3.7583333333333333
DR Congo,K,CAF,1,0,0,0,1,12,2.1666666666666665,0.6666666666666666,0.9166666666666666,3.4541666666666666
Canada,B,CONCACAF,2,0,0,0,1,12,1.75,0.4166666666666667,1.0833333333333333,3.3791666666666664
South Africa,A,CAF,3,0,0,0,1,11,1.6363636363636365,0.45454545454545453,0.6363636363636364,3.331818181818182
Panama,L,CONCACAF,1,0,0,0,1,14,1.9285714285714286,0.5,0.8571428571428571,3.242857142857143
Iraq,I,AFC,1,0,0,0,1,11,2.090909090909091,0.6363636363636364,0.45454545454545453,3.231818181818182
Bosnia & Herzegovina,B,UEFA,1,0,0,0,1,8,1.625,0.375,1.25,3.1375
Czech Republic,A,UEFA,1,0,0,0,1,8,1.625,0.375,1.0,3.0500000000000003
Haiti,C,CONCACAF,1,0,0,0,1,11,1.1818181818181819,0.2727272727272727,0.0,2.3454545454545457
Qatar,B,AFC,1,0,0,0,1,9,0.7777777777777778,0.1111111111111111,-0.7777777777777778,1.75
New Zealand,G,OFC,2,0,0,0,1,8,0.5,0.125,-0.75,1.7375
Uzbekistan,K,AFC,0,0,0,0,0,7,1.7142857142857142,0.42857142857142855,0.7142857142857143,1.6214285714285714
Cape Verde,H,CAF,0,0,0,0,0,8,1.625,0.375,0.5,1.475
Jordan,J,AFC,0,0,0,0,0,14,1.5,0.42857142857142855,0.35714285714285715,1.3250000000000002
Curaçao,E,,0,0,0,0,0,11,1.2727272727272727,0.2727272727272727,0.2727272727272727,1.1136363636363638
