year,group_name,team_name,confederation_code
2026,A,Mexico,CONCACAF
2026,A,South Africa,CAF
2026,A,South Korea,AFC
2026,A,Czech Republic,UEFA
2026,B,Canada,CONCACAF
2026,B,Bosnia & Herzegovina,UEFA
2026,B,Qatar,AFC
2026,B,Switzerland,UEFA
2026,C,Brazil,CONMEBOL
2026,C,Morocco,CAF
2026,C,Haiti,CONCACAF
2026,C,Scotland,UEFA
2026,D,United States,CONCACAF
2026,D,Paraguay,CONMEBOL
2026,D,Australia,AFC
2026,D,Turkey,UEFA
2026,E,Germany,UEFA
2026,E,Curaçao,
2026,E,Ivory Coast,CAF
2026,E,Ecuador,CONMEBOL
2026,F,Netherlands,UEFA
2026,F,Japan,AFC
2026,F,Sweden,UEFA
2026,F,Tunisia,CAF
2026,G,Belgium,UEFA
2026,G,Egypt,CAF
2026,G,Iran,AFC
2026,G,New Zealand,OFC
2026,H,Spain,UEFA
2026,H,Cape Verde,CAF
2026,H,Saudi Arabia,AFC
2026,H,Uruguay,CONMEBOL
2026,I,France,UEFA
2026,I,Senegal,CAF
2026,I,Iraq,AFC
2026,I,Norway,UEFA
2026,J,Argentina,CONMEBOL
2026,J,Algeria,CAF
2026,J,Austria,UEFA
2026,J,Jordan,AFC
2026,K,Portugal,UEFA
2026,K,DR Congo,CAF
2026,K,Uzbekistan,AFC
2026,K,Colombia,CONMEBOL
2026,L,England,UEFA
2026,L,Croatia,UEFA
2026,L,Ghana,CAF
2026,L,Panama,CONCACAF
